source_run,model_label,serving_mode,source_file,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,(p)seq/s/worker,(d)seq/s/worker,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,backend_label,satisfies_sla,cluster_total_gpus,raw_candidate_tps,cluster_tps_8gpu,output_token_throughput_8gpu,per_gpu_throughput_8gpu,per_gpu_output_token_throughput,per_user_tps,plot_label,is_model_pareto_frontier
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,88,3.938,11.0,88.0,1375.29,20.688,22042.618,3.938,0.492,3934.292,491.786,48.337,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,68.01,0.011,1.0,10.0,4010.0,4000.0,10.0,trtllm,1.3.0rc10,b300_sxm,0.0,491.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,3934.292,3934.288,3934.288,491.786,491.786,48.337,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,80,3.696,10.0,80.0,1346.276,19.988,21313.833,3.696,0.462,3692.097,461.512,50.031,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,67.729,0.01,1.0,9.0,4009.0,4000.0,9.0,trtllm,1.3.0rc10,b300_sxm,0.0,461.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,3692.097,3692.096,3692.096,461.512,461.512,50.031,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,72,3.457,9.0,72.0,1317.277,19.168,20465.842,3.457,0.432,3453.359,431.67,52.171,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,67.449,0.009,1.0,8.0,4008.0,4000.0,8.0,trtllm,1.3.0rc10,b300_sxm,0.0,431.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,3453.359,3453.36,3453.36,431.67,431.67,52.171,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,64,3.21,8.0,64.0,1288.355,18.275,19544.921,3.21,0.401,3206.769,400.846,54.72,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,67.169,0.008,1.0,7.0,4007.0,4000.0,7.0,trtllm,1.3.0rc10,b300_sxm,0.0,400.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,3206.769,3206.768,3206.768,400.846,400.846,54.72,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,56,2.926,7.0,56.0,1259.447,17.475,18716.768,2.926,0.366,2922.915,365.364,57.225,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,66.888,0.007,1.0,6.0,4006.0,4000.0,6.0,trtllm,1.3.0rc10,b300_sxm,0.0,365.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,2922.915,2922.912,2922.912,365.364,365.364,57.225,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,48,2.622,6.0,48.0,1230.551,16.641,17855.053,2.622,0.328,2619.145,327.393,60.092,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,66.608,0.006,1.0,5.0,4005.0,4000.0,5.0,trtllm,1.3.0rc10,b300_sxm,0.0,327.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,2619.145,2619.144,2619.144,327.393,327.393,60.092,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,40,2.214,5.0,40.0,1278.003,16.289,17550.727,2.214,0.277,2211.906,276.488,61.391,8,1.0,1.0,8.0,2.0,4.0,tp1pp1dp8etp2ep4,nvfp4,fp8,bfloat16,nvfp4,half,70.327,0.005,1.0,4.0,4004.0,4000.0,4.0,trtllm,1.3.0rc10,b300_sxm,0.0,276.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,2211.906,2211.904,2211.904,276.488,276.488,61.391,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,16,0.95,16.0,16.0,875.651,15.727,16587.124,0.95,0.237,948.743,237.186,63.584,4,4.0,1.0,1.0,1.0,4.0,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,112.168,0.008,2.0,14.0,8014.0,8000.0,14.0,trtllm,1.3.0rc10,b300_sxm,0.0,237.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,948.743,1897.488,1897.488,237.186,237.186,63.584,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,32,1.895,4.0,32.0,1172.915,15.213,16370.623,1.895,0.237,1893.419,236.677,65.734,8,1.0,1.0,8.0,1.0,8.0,tp1pp1dp8etp1ep8,nvfp4,fp8,bfloat16,nvfp4,half,66.047,0.004,1.0,3.0,4003.0,4000.0,3.0,trtllm,1.3.0rc10,b300_sxm,0.0,236.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,1893.419,1893.416,1893.416,236.677,236.677,65.734,GLM-5 NVFP4 / trtllm / agg,True
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_b300_sxm_trtllm_isl4000_osl1000_ttft2000_tpot30_509875/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,13,0.8,13.0,13.0,893.765,15.081,15960.074,0.8,0.2,798.958,199.74,66.307,4,4.0,1.0,1.0,2.0,2.0,tp4pp1dp1etp2ep2,nvfp4,fp8,bfloat16,nvfp4,half,112.327,0.006,2.0,11.0,8011.0,8000.0,11.0,trtllm,1.3.0rc10,b300_sxm,0.0,199.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,True,8,798.958,1597.92,1597.92,199.74,199.74,66.307,GLM-5 NVFP4 / trtllm / agg,True
