source_run,model_label,serving_mode,source_file,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,(p)seq/s/worker,(d)seq/s/worker,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,backend_label,satisfies_sla,cluster_total_gpus,raw_candidate_tps,cluster_tps_8gpu,output_token_throughput_8gpu,per_gpu_throughput_8gpu,per_user_tps,plot_label,is_model_pareto_frontier
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_b300_sxm_vllm_isl4000_osl1000_ttft2000_tpot30_648170/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,10,0.545,,,792.414,16.915,17690.499,0.545,0.068,544.64,68.08,59.119,8,,,,,,,,,,,,,,,,,,,,,,0.0,68.08,1.0,2.0,2.0,10.0,10.0,1.0,4.543,0.592,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,b300_sxm,4.0,1.0,1.0,4.0,1.0,tp4pp1dp1etp4ep1,nvfp4,fp8,bfloat16,nvfp4,half,108.372,vllm,0.19.0,b300_sxm,0.0,0.0,0.0,,0.0,vllm,True,8,544.64,544.64,544.64,68.08,59.119,GLM-5 NVFP4 / vllm / disagg,False
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_b300_sxm_vllm_isl4000_osl1000_ttft2000_tpot30_648170/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,9,0.522,,,792.414,15.902,16678.512,0.522,0.065,521.64,65.205,62.885,8,,,,,,,,,,,,,,,,,,,,,,0.0,65.205,1.0,2.0,1.0,3.0,3.0,3.0,4.543,0.189,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,b300_sxm,2.0,1.0,1.0,2.0,1.0,tp2pp1dp1etp2ep1,nvfp4,fp8,bfloat16,nvfp4,half,205.908,vllm,0.19.0,b300_sxm,0.0,0.0,0.0,,0.0,vllm,True,8,521.64,521.64,521.64,65.205,62.885,GLM-5 NVFP4 / vllm / disagg,False
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_b300_sxm_vllm_isl4000_osl1000_ttft2000_tpot30_648170/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,6,0.378,,,792.414,14.634,15411.78,0.378,0.047,378.12,47.265,68.334,8,,,,,,,,,,,,,,,,,,,,,,0.0,47.265,1.0,2.0,1.0,2.0,2.0,3.0,4.543,0.137,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,b300_sxm,2.0,1.0,1.0,2.0,1.0,tp2pp1dp1etp2ep1,nvfp4,fp8,bfloat16,nvfp4,half,205.627,vllm,0.19.0,b300_sxm,0.0,0.0,0.0,,0.0,vllm,True,8,378.12,378.12,378.12,47.265,68.334,GLM-5 NVFP4 / vllm / disagg,False
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_b300_sxm_vllm_isl4000_osl1000_ttft2000_tpot30_648170/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,4,0.252,,,792.414,14.618,15395.796,0.252,0.032,252.08,31.51,68.411,8,,,,,,,,,,,,,,,,,,,,,,0.0,31.51,1.0,2.0,2.0,4.0,4.0,1.0,4.543,0.274,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,b300_sxm,4.0,1.0,1.0,1.0,4.0,tp4pp1dp1etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,106.69,vllm,0.19.0,b300_sxm,0.0,0.0,0.0,,0.0,vllm,True,8,252.08,252.08,252.08,31.51,68.411,GLM-5 NVFP4 / vllm / disagg,False
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_b300_sxm_vllm_isl4000_osl1000_ttft2000_tpot30_648170/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,3,0.213,,,792.414,13.078,13857.336,0.213,0.027,212.52,26.565,76.464,8,,,,,,,,,,,,,,,,,,,,,,0.0,26.565,1.0,2.0,1.0,1.0,1.0,3.0,4.543,0.077,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,b300_sxm,2.0,1.0,1.0,1.0,2.0,tp2pp1dp1etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,205.347,vllm,0.19.0,b300_sxm,0.0,0.0,0.0,,0.0,vllm,True,8,212.52,212.52,212.52,26.565,76.464,GLM-5 NVFP4 / vllm / disagg,False
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_b300_sxm_vllm_isl4000_osl1000_ttft2000_tpot30_648170/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,2,0.144,,,792.414,12.838,13617.576,0.144,0.018,143.52,17.94,77.896,8,,,,,,,,,,,,,,,,,,,,,,0.0,17.94,1.0,2.0,2.0,2.0,2.0,1.0,4.543,0.156,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,b300_sxm,4.0,1.0,1.0,4.0,1.0,tp4pp1dp1etp4ep1,nvfp4,fp8,bfloat16,nvfp4,half,106.129,vllm,0.19.0,b300_sxm,0.0,0.0,0.0,,0.0,vllm,True,8,143.52,143.52,143.52,17.94,77.896,GLM-5 NVFP4 / vllm / disagg,False
glm_vllm,GLM-5 NVFP4,disagg,glm_vllm/nvidia/GLM-5-NVFP4_b300_sxm_vllm_isl4000_osl1000_ttft2000_tpot30_648170/disagg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,1,0.079,,,792.414,11.577,12357.837,0.079,0.01,79.12,9.89,86.375,8,,,,,,,,,,,,,,,,,,,,,,0.0,9.89,1.0,2.0,2.0,1.0,1.0,1.0,4.543,0.086,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,209.774,vllm,0.19.0,b300_sxm,4.0,1.0,1.0,4.0,1.0,tp4pp1dp1etp4ep1,nvfp4,fp8,bfloat16,nvfp4,half,105.848,vllm,0.19.0,b300_sxm,0.0,0.0,0.0,,0.0,vllm,True,8,79.12,79.12,79.12,9.89,86.375,GLM-5 NVFP4 / vllm / disagg,False
kimi,Kimi K2.5 NVFP4,agg,kimi/nvidia/Kimi-K2.5-NVFP4_b300_sxm_auto_isl4000_osl1000_ttft2000_tpot30_594291/agg/pareto.csv,nvidia/Kimi-K2.5-NVFP4,4000,1000,0,2048,13.25,512.0,2048.0,984.741,154.294,155124.141,13.25,3.312,13236.465,3309.116,6.481,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,242.882,0.512,1.0,511.0,4511.0,4000.0,511.0,vllm,0.19.0,b300_sxm,0.0,3309.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vllm,False,8,13236.465,26472.928,26472.928,3309.116,6.481,Kimi K2.5 NVFP4 / vllm / agg,False
kimi,Kimi K2.5 NVFP4,agg,kimi/nvidia/Kimi-K2.5-NVFP4_b300_sxm_auto_isl4000_osl1000_ttft2000_tpot30_594291/agg/pareto.csv,nvidia/Kimi-K2.5-NVFP4,4000,1000,0,1920,13.018,480.0,1920.0,979.209,147.198,148030.008,13.018,3.254,13004.742,3251.186,6.794,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,237.587,0.48,1.0,479.0,4479.0,4000.0,479.0,vllm,0.19.0,b300_sxm,0.0,3251.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vllm,False,8,13004.742,26009.488,26009.488,3251.186,6.794,Kimi K2.5 NVFP4 / vllm / agg,False
kimi,Kimi K2.5 NVFP4,agg,kimi/nvidia/Kimi-K2.5-NVFP4_b300_sxm_auto_isl4000_osl1000_ttft2000_tpot30_594291/agg/pareto.csv,nvidia/Kimi-K2.5-NVFP4,4000,1000,0,1792,12.765,448.0,1792.0,973.677,140.071,140904.108,12.765,3.191,12752.536,3188.134,7.139,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,232.291,0.448,1.0,447.0,4447.0,4000.0,447.0,vllm,0.19.0,b300_sxm,0.0,3188.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vllm,False,8,12752.536,25505.072,25505.072,3188.134,7.139,Kimi K2.5 NVFP4 / vllm / agg,False
