source_run,model_label,serving_mode,source_file,model,isl,osl,prefix,concurrency,request_rate,bs,global_bs,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,num_total_gpus,tp,pp,dp,moe_tp,moe_ep,parallel,gemm,kvcache,fmha,moe,comm,memory,balance_score,num_ctx_reqs,num_gen_reqs,num_tokens,ctx_tokens,gen_tokens,backend,version,system,power_w,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,(p)seq/s/worker,(d)seq/s/worker,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,backend_label,satisfies_sla,cluster_total_gpus,raw_candidate_tps,cluster_tps_72gpu,output_token_throughput_72gpu,per_gpu_throughput_72gpu,per_gpu_output_token_throughput,per_user_tps,plot_label,is_model_pareto_frontier
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,896,6.269,224.0,448.0,1847.276,141.972,143676.812,6.269,1.567,6262.488,1565.622,7.044,4,1.0,2.0,2.0,1.0,2.0,tp1pp2dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,174.437,0.224,1.0,223.0,4223.0,4000.0,223.0,trtllm,1.3.0rc10,gb300,0.0,1565.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,6262.488,112724.784,112724.784,1565.622,1565.622,7.044,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,416,3.092,208.0,416.0,1839.784,133.569,135275.11,3.092,1.546,3088.741,1544.37,7.487,2,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,271.327,0.208,1.0,207.0,4207.0,4000.0,207.0,trtllm,1.3.0rc10,gb300,0.0,1544.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,3088.741,111194.63999999998,111194.63999999998,1544.37,1544.37,7.487,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,384,3.043,192.0,384.0,1832.562,125.189,126896.27,3.043,1.522,3040.041,1520.021,7.988,2,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,266.841,0.192,1.0,191.0,4191.0,4000.0,191.0,trtllm,1.3.0rc10,gb300,0.0,1520.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,3040.041,109441.512,109441.512,1520.021,1520.021,7.988,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,352,2.991,176.0,352.0,1825.34,116.685,118393.508,2.991,1.495,2987.567,1493.784,8.57,2,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,262.354,0.176,1.0,175.0,4175.0,4000.0,175.0,trtllm,1.3.0rc10,gb300,0.0,1493.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,2987.567,107552.448,107552.448,1493.784,1493.784,8.57,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,320,2.931,160.0,320.0,1818.118,108.154,109864.235,2.931,1.465,2927.65,1463.825,9.246,2,1.0,1.0,2.0,1.0,2.0,tp1pp1dp2etp1ep2,nvfp4,fp8,bfloat16,nvfp4,half,257.868,0.16,1.0,159.0,4159.0,4000.0,159.0,trtllm,1.3.0rc10,gb300,0.0,1463.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,2927.65,105395.40000000001,105395.40000000001,1463.825,1463.825,9.246,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,576,5.73,144.0,576.0,1914.187,99.395,101209.31,5.73,1.432,5723.791,1430.948,10.061,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,154.663,0.144,1.0,143.0,4143.0,4000.0,143.0,trtllm,1.3.0rc10,gb300,0.0,1430.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,5723.791,103028.25600000001,103028.25600000001,1430.948,1430.948,10.061,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,512,5.6,128.0,512.0,1906.012,90.269,92084.675,5.6,1.4,5594.457,1398.614,11.078,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,150.176,0.128,1.0,127.0,4127.0,4000.0,127.0,trtllm,1.3.0rc10,gb300,0.0,1398.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,5594.457,100700.208,100700.208,1398.614,1398.614,11.078,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,448,5.416,112.0,448.0,1898.443,81.535,83351.851,5.416,1.354,5410.826,1352.707,12.265,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,145.69,0.112,1.0,111.0,4111.0,4000.0,111.0,trtllm,1.3.0rc10,gb300,0.0,1352.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,5410.826,97394.90400000001,97394.90400000001,1352.707,1352.707,12.265,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,384,5.185,96.0,384.0,1891.697,72.856,74675.109,5.185,1.296,5180.047,1295.012,13.726,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,141.203,0.096,1.0,95.0,4095.0,4000.0,95.0,trtllm,1.3.0rc10,gb300,0.0,1295.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,5180.047,93240.864,93240.864,1295.012,1295.012,13.726,GLM-5 NVFP4 / trtllm / agg,False
glm_trtllm,GLM-5 NVFP4,agg,glm_trtllm/nvidia/GLM-5-NVFP4_gb300_trtllm_isl4000_osl1000_ttft2000_tpot30_444043/agg/pareto.csv,nvidia/GLM-5-NVFP4,4000,1000,0,320,4.953,80.0,320.0,1884.666,63.386,65207.177,4.953,1.238,4947.899,1236.975,15.776,4,1.0,1.0,4.0,1.0,4.0,tp1pp1dp4etp1ep4,nvfp4,fp8,bfloat16,nvfp4,half,136.717,0.08,1.0,79.0,4079.0,4000.0,79.0,trtllm,1.3.0rc10,gb300,0.0,1236.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trtllm,False,72,4947.899,89062.2,89062.2,1236.975,1236.975,15.776,GLM-5 NVFP4 / trtllm / agg,False
